"id","EAP","HPL","MWS"
"id00008",0.84,0.14,0.02
"id00011",0.48,0.36,0.16
"id00013",0.4,0.58,0.02
"id00018",0.52,0.08,0.4
"id00020",0.24,0.64,0.12
"id00023",0.1,0.64,0.26
"id00025",0.36,0.5,0.14
"id00026",0.96,0.04,0
"id00040",0.22,0.5,0.28
"id00041",0.56,0.2,0.24
"id00044",0.3,0.08,0.62
"id00046",0.56,0.14,0.3
"id00047",0.68,0.1,0.22
"id00055",0.22,0.02,0.76
"id00058",0.6,0.38,0.02
"id00059",0.78,0.18,0.04
"id00066",0.74,0.14,0.12
"id00069",0.46,0.54,0
"id00071",0.5,0.06,0.44
"id00072",0.62,0.1,0.28
"id00074",0.98,0,0.02
"id00076",0.28,0.32,0.4
"id00083",0.62,0.3,0.08
"id00085",0.6,0.24,0.16
"id00087",0.5,0.48,0.02
"id00088",0.2,0.16,0.64
"id00089",0.62,0.28,0.1
"id00092",0.8,0.16,0.04
"id00096",0.86,0.04,0.1
"id00101",0.58,0.08,0.34
"id00102",0.6,0.18,0.22
"id00104",0.64,0.06,0.3
"id00105",0.34,0.26,0.4
"id00110",0.22,0.32,0.46
"id00111",0.32,0.62,0.06
"id00112",0.66,0.2,0.14
"id00114",0.24,0.24,0.52
"id00115",0.9,0.08,0.02
"id00116",0.76,0.24,0
"id00118",0.9,0.02,0.08
"id00121",0.68,0.24,0.08
"id00124",0.38,0.18,0.44
"id00125",0.6,0.28,0.12
"id00126",0.68,0.16,0.16
"id00132",0.46,0.48,0.06
"id00134",0.52,0.4,0.08
"id00137",0.6,0.3,0.1
"id00139",0.74,0.16,0.1
"id00140",0.58,0.14,0.28
"id00142",0.2,0.54,0.26
"id00157",1,0,0
"id00160",1,0,0
"id00167",0.58,0.14,0.28
"id00173",0.56,0.08,0.36
"id00176",0.82,0.1,0.08
"id00177",0.58,0.14,0.28
"id00178",0.26,0.28,0.46
"id00183",0.68,0.28,0.04
"id00184",0.34,0.36,0.3
"id00189",0.6,0.28,0.12
"id00190",0.48,0.34,0.18
"id00191",0.34,0.22,0.44
"id00192",0.76,0.14,0.1
"id00194",0.26,0.14,0.6
"id00195",0.36,0.36,0.28
"id00196",0.22,0.6,0.18
"id00199",0.12,0.38,0.5
"id00203",0.66,0.2,0.14
"id00206",0.84,0,0.16
"id00210",0.96,0.02,0.02
"id00214",0.84,0.08,0.08
"id00215",0.38,0.52,0.1
"id00217",0.34,0.4,0.26
"id00219",0.6,0.24,0.16
"id00228",1,0,0
"id00231",0.38,0.62,0
"id00233",1,0,0
"id00235",0.86,0.04,0.1
"id00240",0.94,0.04,0.02
"id00243",0.72,0.16,0.12
"id00245",0.12,0.46,0.42
"id00247",0.64,0.28,0.08
